Temporada,Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Harry Kane,eng ENG,DL,30-269,30,30,"2,659",29.5,33,8,41,30,3,3,2,0,27.7,25.4,6.0,31.3,36,97,159,1.12,0.27,1.39,1.02,1.29,0.94,0.20,1.14,0.86,1.06
Leroy Sané,de GER,DL,28-102,26,25,"2,118",23.5,8,11,19,8,0,0,4,0,10.9,10.9,10.8,21.8,120,112,274,0.34,0.47,0.81,0.34,0.81,0.46,0.46,0.92,0.46,0.92
Joshua Kimmich,de GER,"CC,DF",29-074,24,23,"1,865",20.7,1,6,7,1,0,0,1,1,1.0,1.0,6.9,7.9,49,217,90,0.05,0.29,0.34,0.05,0.34,0.05,0.33,0.38,0.05,0.38
Leon Goretzka,de GER,CC,29-076,26,22,"1,914",21.3,5,7,12,5,0,0,3,0,4.8,4.8,4.9,9.7,61,153,61,0.24,0.33,0.56,0.24,0.56,0.23,0.23,0.46,0.23,0.46
Alphonso Davies,ca CAN,DF,23-172,25,21,"1,773",19.7,1,4,5,1,0,0,0,0,0.4,0.4,2.6,3.0,106,106,123,0.05,0.20,0.25,0.05,0.25,0.02,0.13,0.15,0.02,0.15
Kim Min-jae,kr KOR,DF,27-159,22,20,"1,761",19.6,1,1,2,1,0,0,3,0,0.7,0.7,0.4,1.0,14,118,2,0.05,0.05,0.10,0.05,0.10,0.03,0.02,0.05,0.03,0.05
Jamal Musiala,de GER,"CC,DL",21-056,24,20,"1,755",19.5,10,5,15,10,0,0,2,0,7.9,7.9,6.0,13.9,103,100,163,0.51,0.26,0.77,0.51,0.77,0.40,0.31,0.71,0.40,0.71
Manuel Neuer,de GER,PO,38-026,19,19,"1,710",19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dayot Upamecano,fr FRA,DF,25-178,22,17,"1,537",17.1,1,0,1,1,0,0,3,1,1.7,1.7,0.5,2.1,23,121,9,0.06,0.00,0.06,0.06,0.06,0.10,0.03,0.12,0.10,0.12
Thomas Müller,de GER,"CC,DL",34-222,28,17,"1,384",15.4,5,7,12,5,0,0,0,0,4.9,4.9,7.2,12.1,31,71,162,0.33,0.46,0.78,0.33,0.78,0.32,0.47,0.78,0.32,0.78
