Temporada,Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Nico Schlotterbeck,de GER,DF,24-143,29,29,"2,561",28.5,2,1,3,2,0,0,2,0,3.0,3.0,1.5,4.4,50,166,9,0.07,0.04,0.11,0.07,0.11,0.10,0.05,0.16,0.10,0.16
Niclas Füllkrug,de GER,DL,31-073,27,25,"2,062",22.9,12,8,20,9,3,3,1,0,11.1,8.8,3.1,11.9,16,48,114,0.52,0.35,0.87,0.39,0.74,0.49,0.14,0.62,0.38,0.52
Julian Brandt,de GER,"CC,DL",27-356,28,25,"2,033",22.6,6,11,17,6,0,0,2,0,4.1,4.1,8.6,12.7,67,93,147,0.27,0.49,0.75,0.27,0.75,0.18,0.38,0.56,0.18,0.56
Gregor Kobel,ch SUI,PO,26-138,24,24,"2,095",23.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcel Sabitzer,at AUT,CC,30-036,23,22,"1,853",20.6,4,3,7,3,1,1,3,1,3.4,2.6,1.8,4.4,38,104,65,0.19,0.15,0.34,0.15,0.29,0.16,0.09,0.25,0.13,0.21
Emre Can,de GER,"CC,DF",30-101,24,21,"1,863",20.7,2,2,4,0,2,2,5,0,2.1,0.5,1.4,1.9,31,104,17,0.10,0.10,0.19,0.00,0.10,0.10,0.07,0.17,0.02,0.09
Donyell Malen,nl NED,"DL,CC",25-104,24,19,"1,644",18.3,11,1,12,11,0,0,5,0,7.4,7.4,2.9,10.3,66,52,145,0.60,0.05,0.66,0.60,0.66,0.40,0.16,0.56,0.40,0.56
Julian Ryerson,no NOR,DF,26-157,19,18,"1,625",18.1,4,1,5,4,0,0,3,0,1.6,1.6,2.7,4.3,38,58,107,0.22,0.06,0.28,0.22,0.28,0.09,0.15,0.24,0.09,0.24
Mats Hummels,de GER,DF,35-128,23,18,"1,440",16.0,3,0,3,3,0,0,4,1,3.2,3.2,0.9,4.1,11,79,1,0.19,0.00,0.19,0.19,0.19,0.20,0.05,0.26,0.20,0.26
Marco Reus,de GER,"CC,DL",34-327,22,15,"1,320",14.7,4,5,9,4,0,0,1,0,5.0,5.0,3.4,8.3,22,44,70,0.27,0.34,0.61,0.27,0.61,0.34,0.23,0.57,0.34,0.57
